block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
14,2,22,22,1.0,0.958432,1.053835,0.017976,0.998342,1.073694,0.075352,1.113171,0.031745
14,4,22,22,1.0,0.964668,1.062682,0.018396,1.014465,1.083301,0.068835,1.127488,0.028134
14,7,22,22,1.0,0.951929,0.706255,0.007606,0.694423,0.722008,0.027585,0.648175,0.013309
14,8,22,22,1.0,0.923,0.949997,0.013051,0.909678,0.971469,0.061791,0.980803,0.03665
14,11,22,22,1.0,0.913328,1.061642,0.016599,1.031906,1.09016,0.058254,1.35496,0.038703
14,12,22,22,1.0,0.933509,1.000909,0.017248,0.95981,1.029018,0.069208,1.099196,0.059554
14,14,22,22,1.0,0.953039,1.021821,0.023248,0.958639,1.046094,0.087455,1.083104,0.039829
15,0,22,22,1.0,0.980964,1.059838,0.017045,1.010235,1.079576,0.069341,1.099173,0.030196
15,1,22,22,1.0,0.966967,0.9845,0.008546,0.960842,0.996118,0.035276,0.944128,0.021922
15,2,22,22,1.0,0.974835,0.880656,0.011346,0.866022,0.907933,0.041911,0.826058,0.016425
15,3,22,22,1.0,0.976234,0.99028,0.005723,0.978926,0.999432,0.020506,0.987008,0.011558
15,4,22,22,1.0,0.997176,1.00906,0.01352,0.989451,1.038715,0.049264,1.01031,0.013951
15,5,22,22,1.0,0.969833,1.016248,0.008065,0.992774,1.029219,0.036445,1.089222,0.016622
15,7,22,22,1.0,0.955218,0.926133,0.008026,0.909623,0.946655,0.037032,0.833059,0.019307
15,8,22,22,1.0,0.95886,1.041765,0.012229,1.005996,1.060993,0.054996,1.102117,0.022848
15,9,22,22,1.0,0.979289,0.989892,0.008682,0.971259,1.010748,0.039489,0.965259,0.019016
15,10,22,22,1.0,0.962586,0.929221,0.012463,0.905788,0.948236,0.042448,0.863421,0.015088
15,11,22,22,1.0,0.971385,0.921836,0.014495,0.881014,0.938407,0.057393,0.872969,0.030081
15,12,22,22,1.0,0.989582,1.121211,0.008169,1.105367,1.133934,0.028568,1.09122,0.016663
15,13,20,22,0.909091,0.92444,0.873442,0.037913,0.826357,0.948593,0.122236,0.728565,0.108495
15,14,22,22,1.0,0.944109,0.898778,0.052255,0.809818,0.999848,0.19003,0.878062,0.083977
