block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
7,3,22,22,1.0,0.96933,0.772906,0.017349,0.74709,0.81592,0.06883,0.78545,0.022785
7,4,4,22,0.181818,0.912972,0.632303,0.002844,0.62885,0.635399,0.006548,0.539395,0.009505
7,5,9,22,0.409091,0.906673,0.829316,0.015663,0.810274,0.852623,0.042348,0.828387,0.023119
7,6,22,22,1.0,0.966377,0.819481,0.016661,0.780772,0.844131,0.06336,0.829418,0.02534
7,7,22,22,1.0,0.953956,0.961051,0.01493,0.930004,0.984347,0.054344,1.007584,0.018115
7,8,22,22,1.0,0.969596,0.968908,0.027227,0.903091,1.009847,0.106756,0.925052,0.036197
7,9,22,22,1.0,0.988742,0.897419,0.011502,0.863156,0.920626,0.057471,0.896106,0.016083
7,10,22,22,1.0,0.997026,0.966212,0.003782,0.958719,0.973352,0.014633,0.968383,0.003908
7,11,22,22,1.0,0.9841,0.996492,0.016122,0.96824,1.038409,0.070169,1.023384,0.024496
7,12,22,22,1.0,0.978834,0.852217,0.01365,0.824102,0.869073,0.044971,0.863311,0.013813
7,13,22,22,1.0,0.954003,0.788429,0.012243,0.766462,0.810766,0.044304,0.767928,0.016721
7,14,22,22,1.0,0.969649,0.745549,0.016511,0.707469,0.776844,0.069375,0.724655,0.041869
8,0,22,22,1.0,0.93846,0.914723,0.012953,0.884257,0.932823,0.048566,0.915806,0.028644
8,1,22,22,1.0,0.948393,0.79595,0.012071,0.7729,0.817715,0.044815,0.722495,0.017924
8,2,17,22,0.772727,0.914883,0.695136,0.015274,0.673818,0.721692,0.047875,0.591626,0.032913
8,3,22,22,1.0,0.953318,0.788089,0.009657,0.769408,0.803259,0.033851,0.722717,0.020712
8,4,22,22,1.0,0.988138,1.009686,0.022905,0.966057,1.065141,0.099083,1.004015,0.031276
8,6,22,22,1.0,0.956166,0.915992,0.0213,0.861618,0.957692,0.096074,0.920718,0.035863
8,7,22,22,1.0,0.981473,0.994896,0.007953,0.973433,1.008556,0.035123,1.021402,0.013654
8,8,22,22,1.0,0.983938,0.969002,0.005948,0.956312,0.978176,0.021863,0.929843,0.009855
8,9,22,22,1.0,0.961532,0.879014,0.009534,0.864868,0.895051,0.030183,0.829677,0.015309
8,10,22,22,1.0,0.971578,0.870783,0.010913,0.847359,0.895182,0.047823,0.850206,0.014948
8,11,22,22,1.0,0.969777,0.935279,0.010606,0.914563,0.955919,0.041356,0.932381,0.017002
8,12,22,22,1.0,0.928926,0.817658,0.015448,0.784462,0.850756,0.066293,0.770985,0.028983
8,13,22,22,1.0,0.977834,0.932482,0.011014,0.913704,0.952204,0.0385,0.90288,0.021041
8,14,22,22,1.0,0.953561,0.921661,0.016812,0.888151,0.953796,0.065645,0.911645,0.029265
9,0,22,22,1.0,0.916223,0.829854,0.016364,0.804919,0.857076,0.052157,0.664908,0.042037
9,2,18,22,0.818182,0.91413,0.818795,0.006513,0.810544,0.831694,0.02115,0.619515,0.036741
9,3,22,22,1.0,0.973687,0.940754,0.015381,0.899174,0.960866,0.061692,0.927682,0.021542
9,4,22,22,1.0,0.967333,0.982879,0.022146,0.93501,1.019264,0.084255,1.000248,0.029396
9,5,22,22,1.0,0.967575,0.962111,0.008267,0.943194,0.976291,0.033097,0.993872,0.013405
9,6,22,22,1.0,0.981825,0.974339,0.005272,0.964511,0.9831,0.018588,0.975646,0.01145
9,7,22,22,1.0,0.98727,0.932731,0.013505,0.911941,0.961833,0.049892,0.912071,0.018652
9,9,22,22,1.0,0.975132,0.908385,0.010217,0.880305,0.920502,0.040197,0.862578,0.019626
9,10,22,22,1.0,0.971778,0.84033,0.01248,0.821216,0.869778,0.048562,0.815538,0.017366
9,11,22,22,1.0,0.961284,0.816788,0.004267,0.80893,0.823111,0.014181,0.732948,0.02179
9,12,11,22,0.5,0.909027,0.715744,0.015035,0.697522,0.748874,0.051352,0.7851,0.013101
9,13,22,22,1.0,0.928078,0.827147,0.005934,0.81966,0.838743,0.019082,0.689034,0.031272
9,14,22,22,1.0,0.974245,0.950133,0.011801,0.930075,0.971036,0.04096,0.939395,0.017426
9,15,22,22,1.0,0.990463,0.942654,0.009389,0.925666,0.963839,0.038174,0.90765,0.01405
10,0,11,22,0.5,0.907206,0.676196,0.008068,0.66346,0.687754,0.024294,0.518625,0.013107
10,1,22,22,1.0,0.993628,0.927841,0.012253,0.902399,0.945896,0.043497,0.933689,0.012399
10,2,22,22,1.0,0.972241,0.893824,0.016142,0.866955,0.933145,0.06619,0.833004,0.0262
10,3,22,22,1.0,0.971153,0.789822,0.014745,0.765158,0.811796,0.046638,0.723782,0.04614
10,4,22,22,1.0,0.995491,0.915512,0.007566,0.897319,0.930066,0.032747,0.914637,0.00848
10,5,22,22,1.0,0.986766,0.956782,0.016205,0.924541,0.984249,0.059708,0.958276,0.022759
10,6,22,22,1.0,0.977712,0.861554,0.015401,0.834176,0.887794,0.053619,0.862544,0.019002
10,7,22,22,1.0,0.986636,0.883078,0.007204,0.867006,0.898903,0.031897,0.852213,0.013931
10,8,22,22,1.0,0.968925,0.935553,0.010522,0.919778,0.955903,0.036124,0.917063,0.014902
10,9,22,22,1.0,0.96166,0.810592,0.036322,0.737687,0.878971,0.141284,0.834827,0.032807
10,10,22,22,1.0,0.981564,0.855187,0.017857,0.807964,0.88742,0.079456,0.871158,0.016891
10,11,22,22,1.0,0.97762,0.913239,0.010814,0.896442,0.93884,0.042398,0.881213,0.016836
10,12,22,22,1.0,0.962627,0.820071,0.010043,0.803626,0.84025,0.036624,0.739853,0.013605
10,13,22,22,1.0,0.989602,0.96574,0.008902,0.946848,0.978711,0.031863,0.970654,0.009517
10,14,18,22,0.818182,0.912097,0.682339,0.007634,0.666378,0.694867,0.028489,0.592557,0.014712
10,15,22,22,1.0,0.957061,0.919846,0.012256,0.890676,0.939634,0.048959,0.908121,0.017703
11,0,22,22,1.0,0.994557,1.004187,0.007663,0.991471,1.020918,0.029448,1.006826,0.009206
11,1,22,22,1.0,0.986936,1.054593,0.018758,1.022833,1.090099,0.067266,1.055525,0.025842
11,2,22,22,1.0,0.964307,0.950502,0.016191,0.919299,0.989545,0.070245,0.940478,0.0253
11,4,22,22,1.0,0.949281,0.756068,0.012099,0.736387,0.778513,0.042126,0.644178,0.026428
11,5,22,22,1.0,0.952047,0.979819,0.012015,0.959707,1.008295,0.048588,1.012109,0.017949
11,6,12,22,0.545455,0.91188,0.714003,0.012512,0.695349,0.73368,0.038331,0.798227,0.011239
11,7,16,22,0.727273,0.909799,0.711129,0.00912,0.700712,0.72918,0.028468,0.65088,0.012322
11,8,22,22,1.0,0.94403,0.862783,0.020773,0.831399,0.929071,0.097672,0.820972,0.038312
11,9,22,22,1.0,0.98362,0.919842,0.012852,0.889643,0.937777,0.048133,0.875935,0.034607
11,11,22,22,1.0,0.97472,0.790462,0.010179,0.754935,0.804137,0.049202,0.754916,0.016689
11,13,22,22,1.0,0.987896,1.076341,0.024372,1.032767,1.118885,0.086118,1.076761,0.032411
11,14,22,22,1.0,0.963527,0.981162,0.012166,0.957639,1.005514,0.047875,1.008958,0.017939
11,15,22,22,1.0,0.987653,1.040227,0.015034,1.009327,1.0752,0.065873,1.036745,0.023977
12,0,22,22,1.0,0.971304,1.246393,0.017561,1.21163,1.280376,0.068747,1.366063,0.018682
12,1,22,22,1.0,0.975017,0.953778,0.017582,0.920471,0.994812,0.074341,0.965672,0.022735
12,2,21,22,0.954545,0.918561,0.891982,0.017998,0.860209,0.922075,0.061866,1.033425,0.068605
12,3,22,22,1.0,0.998437,1.084699,0.006307,1.073333,1.097345,0.024012,1.085473,0.006257
12,4,22,22,1.0,0.942177,0.921983,0.020297,0.881205,0.9527,0.071496,1.002471,0.03828
12,7,3,22,0.136364,0.907019,0.746969,0.005395,0.742901,0.753089,0.010188,0.695374,0.006381
12,8,2,22,0.090909,0.903551,0.731782,0.002616,0.729933,0.733631,0.003699,0.710754,0.006435
12,9,22,22,1.0,0.98409,1.098318,0.012592,1.070147,1.117017,0.04687,1.11326,0.015859
12,10,22,22,1.0,0.97857,0.877917,0.014293,0.854461,0.905107,0.050646,0.832204,0.037103
12,11,16,22,0.727273,0.9075,0.793356,0.010614,0.776231,0.820353,0.044122,0.822349,0.019541
12,12,22,22,1.0,0.928919,0.972026,0.011981,0.946261,0.99204,0.045779,1.017394,0.014795
12,13,2,22,0.090909,0.904205,0.6805,0.005646,0.676508,0.684492,0.007984,0.704246,0.005813
12,14,22,22,1.0,0.91592,0.823268,0.01613,0.790773,0.850714,0.059941,0.829349,0.020017
13,4,22,22,1.0,0.970338,0.809454,0.020979,0.767639,0.847849,0.08021,0.822812,0.017813
13,5,22,22,1.0,0.964232,0.661092,0.019549,0.609309,0.688029,0.078719,0.629283,0.033294
13,6,22,22,1.0,0.982968,1.007059,0.016445,0.971296,1.030174,0.058877,1.008638,0.019889
13,15,22,22,1.0,0.982815,1.269254,0.03476,1.21057,1.343507,0.132937,1.337954,0.049997
14,1,22,22,1.0,0.97732,0.862692,0.023553,0.811053,0.913609,0.102557,0.841954,0.02621
14,2,21,22,0.954545,0.915811,0.791909,0.015084,0.762378,0.814365,0.051987,0.812103,0.021486
14,4,21,22,0.954545,0.918552,0.789271,0.016924,0.751056,0.810933,0.059877,0.819619,0.024216
14,7,22,22,1.0,0.936879,0.669729,0.00813,0.657261,0.68491,0.027649,0.624872,0.014746
14,8,15,22,0.681818,0.908895,0.775884,0.005186,0.768682,0.784763,0.01608,0.742474,0.012454
14,11,2,22,0.090909,0.906327,0.823232,0.022139,0.807578,0.838887,0.031309,0.895692,0.034213
14,12,21,22,0.954545,0.911725,0.823316,0.00976,0.805077,0.842223,0.037146,0.784243,0.030707
14,14,20,22,0.909091,0.916492,0.784289,0.015864,0.749806,0.807226,0.05742,0.804082,0.02374
15,0,22,22,1.0,0.976135,0.953225,0.013736,0.908762,0.967047,0.058285,0.96565,0.02327
15,1,22,22,1.0,0.958915,0.896676,0.007078,0.874686,0.9066,0.031915,0.832326,0.016615
