block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
6,8,0.992535,5.112620,3.745557,0.732610,5.112620,3.745557,0.732610,1.370981,1.434446,1.046292,0.751981,1.400790,0.489038
6,9,0.997297,10.306001,9.546890,0.926343,10.306001,9.546890,0.926343,1.907956,1.983076,1.039372,0.927779,1.042130,0.716328
6,10,0.927966,2.165687,2.166599,1.000421,2.165791,2.180611,1.006843,0.826342,1.127979,1.365027,0.977705,0.911372,0.909907
6,11,0.962119,3.750860,3.744530,0.998313,3.750860,3.744530,0.998313,1.113428,1.103135,0.990756,0.959910,1.075583,1.064088
6,12,0.997139,11.278336,10.614966,0.941182,11.278336,10.614966,0.941182,2.567382,2.528285,0.984772,0.940669,1.072900,0.824767
6,14,0.964363,2.510545,2.123417,0.845799,2.510545,2.126283,0.846941,1.032180,1.092503,1.058442,0.848271,0.753921,0.631558
6,15,0.984922,4.144225,4.116538,0.993319,4.144225,4.116538,0.993319,1.292886,1.606719,1.242738,1.002481,0.764353,0.764277
7,0,0.995440,9.335885,9.860362,1.056179,9.335885,9.860362,1.056179,1.240686,1.215497,0.979698,1.050093,1.058616,0.947688
7,1,0.989079,4.983407,4.949214,0.993139,4.983407,4.949214,0.993139,0.872021,0.933106,1.070050,0.984629,0.746301,0.742238
7,2,0.997294,3.545662,3.630143,1.023827,3.545662,3.630143,1.023827,1.034293,1.104450,1.067831,1.024552,0.293296,0.278930
7,3,0.981059,6.307268,5.561941,0.881830,6.307268,5.561941,0.881830,1.407468,1.418107,1.007559,0.871350,1.388171,1.111729
7,5,0.911190,3.005683,3.486122,1.159843,3.005683,3.486122,1.159843,1.070705,1.177379,1.099630,1.050823,1.524278,1.515632
7,6,0.976690,7.071616,6.572231,0.929382,7.071616,6.572231,0.929382,1.595057,1.675558,1.050469,0.913774,1.584207,1.455701
7,7,0.981296,3.354008,4.402149,1.312504,3.354008,4.402149,1.312504,1.611926,2.065222,1.281214,1.282268,1.406443,0.935720
7,8,0.996406,6.234912,6.141318,0.984989,6.234912,6.141318,0.984989,1.573159,1.557223,0.989870,0.981739,0.549298,0.536604
7,9,0.998447,10.009843,9.690387,0.968086,10.009843,9.690387,0.968086,1.266380,1.294452,1.022167,0.967453,0.636002,0.544669
7,10,0.999205,24.837860,24.972227,1.005410,24.837860,24.972227,1.005410,1.701464,1.785947,1.049653,1.004820,1.005343,0.998155
7,11,0.998004,6.152579,5.836667,0.948654,6.152579,5.836667,0.948654,1.146202,1.244654,1.085894,0.951656,0.483250,0.376828
7,12,0.993107,9.786808,9.563906,0.977224,9.786808,9.563906,0.977224,1.373489,1.541816,1.122554,0.973467,1.165338,1.135454
7,13,0.990359,6.243770,5.550119,0.888905,6.243770,5.550119,0.888905,1.169809,1.213917,1.037705,0.885714,1.070643,0.786943
7,14,0.971617,3.463313,2.674888,0.772350,3.463313,2.674888,0.772350,1.483296,1.151977,0.776633,0.751072,1.163365,0.688750
8,0,0.984480,3.425448,4.219825,1.231904,3.443230,4.237144,1.230573,1.672181,2.159908,1.291671,1.224292,1.192453,0.831589
8,1,0.978006,5.284024,4.612157,0.872849,5.295027,4.637048,0.875737,1.954895,2.188905,1.119704,0.886097,1.242847,1.064444
8,3,0.987447,4.743507,3.777175,0.796283,4.743507,3.777175,0.796283,1.373529,1.435180,1.044885,0.807866,1.143296,0.638065
8,4,0.999295,10.312696,10.879287,1.054941,10.312696,10.879287,1.054941,1.846439,2.021465,1.094791,1.055452,0.714165,0.415410
8,5,0.975989,-1.929977,-2.236718,1.158935,2.030904,2.350392,1.157313,0.932577,0.872780,0.935880,1.093353,0.559802,0.522846
8,6,0.988288,4.304101,4.697939,1.091503,4.304101,4.698904,1.091727,1.579198,2.057249,1.302718,1.105456,0.919671,0.782399
8,7,0.995196,6.273102,7.492968,1.194460,6.273102,7.492968,1.194460,2.333116,2.403485,1.030161,1.170137,1.374541,0.770264
8,8,0.996239,5.452981,5.312087,0.974162,5.452981,5.312087,0.974162,1.999966,2.133064,1.066550,0.981823,0.506980,0.495871
8,9,0.994982,5.379174,5.305982,0.986393,5.379174,5.305982,0.986393,1.108628,1.293963,1.167175,0.989382,0.549502,0.546399
8,10,0.994327,6.722087,6.647893,0.988963,6.722087,6.647893,0.988963,1.252587,1.280461,1.022253,0.984477,0.727841,0.720061
8,11,0.991764,4.978398,5.647087,1.134318,4.978398,5.647087,1.134318,1.311331,1.234991,0.941785,1.113623,0.943456,0.740286
8,12,0.954787,3.208595,3.357889,1.046530,3.208595,3.357889,1.046530,1.215945,1.960906,1.612659,1.081749,1.188983,1.155439
8,13,0.994997,7.415615,7.227075,0.974575,7.415615,7.227075,0.974575,1.158431,1.418310,1.224337,0.976330,0.756857,0.735714
