block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
1,9,22,22,1.0,0.937562,0.956994,0.005303,0.939201,0.96284,0.023638,1.250169,0.09959
1,10,22,22,1.0,0.926865,0.957735,0.003937,0.952956,0.968685,0.015729,0.911234,0.117287
1,11,22,22,1.0,0.952216,1.027764,0.003393,1.019603,1.032531,0.012928,0.319517,52.067861
1,12,11,22,0.5,0.918493,0.893575,0.030843,0.856628,0.942179,0.085551,1.791462,1.363822
1,13,22,22,1.0,0.962499,0.717223,0.023424,0.658382,0.760004,0.101622,0.638569,0.04237
1,15,22,22,1.0,0.987904,0.846834,0.01636,0.81896,0.869086,0.050126,0.832073,0.023641
2,0,22,22,1.0,0.945388,0.975134,0.00338,0.969199,0.98177,0.012571,0.877196,0.048997
2,1,22,22,1.0,0.986555,0.858561,0.0243,0.817704,0.89446,0.076757,0.823562,0.037526
2,2,22,22,1.0,0.950928,0.996892,0.003401,0.989993,1.002609,0.012616,-6.516216,11.27289
2,3,22,22,1.0,0.960925,1.005815,0.003312,0.999,1.011894,0.012894,-3.407492,8.085625
2,4,7,22,0.318182,0.924105,0.529976,0.035664,0.490058,0.583565,0.093506,0.473869,0.031318
2,5,22,22,1.0,0.980384,0.731508,0.015038,0.703658,0.75814,0.054481,0.690896,0.021196
2,6,22,22,1.0,0.937449,0.982953,0.004143,0.976149,0.991664,0.015515,0.599202,0.054788
2,7,22,22,1.0,0.944052,0.97597,0.003069,0.971182,0.982415,0.011232,-0.979088,0.741136
2,8,8,22,0.363636,0.925159,0.560655,0.026567,0.52517,0.593646,0.068476,0.501126,0.035772
2,9,22,22,1.0,0.955349,0.919128,0.006853,0.910113,0.938273,0.02816,0.846433,0.007063
2,10,20,22,0.909091,0.905105,0.918377,0.011019,0.898818,0.944013,0.045195,-0.269695,0.358048
2,11,22,22,1.0,0.982517,0.800672,0.019002,0.765416,0.837415,0.071999,0.74704,0.037808
2,12,22,22,1.0,0.954488,0.999855,0.003305,0.992556,1.004421,0.011866,0.756445,80.29045
2,13,6,22,0.272727,0.910797,0.695596,0.051616,0.625435,0.768832,0.143397,0.511032,0.038582
2,15,22,22,1.0,0.941849,0.999775,0.003348,0.994288,1.005511,0.011223,-1.8578,0.978932
3,1,22,22,1.0,0.950231,0.923292,0.008054,0.906567,0.938678,0.032111,0.716533,0.031408
3,2,2,22,0.090909,0.901146,0.893888,0.007781,0.888386,0.89939,0.011004,0.024061,0.120138
3,3,22,22,1.0,0.918349,0.955359,0.009185,0.935443,0.973018,0.037575,16.338192,98.967455
3,4,22,22,1.0,0.924569,0.911517,0.014817,0.884282,0.936078,0.051797,0.796172,0.034147
