class_id,seed,block,head,mean8,mean9,ratio,cosine
323,0,10,3,4.458196,3.140244,0.704375,0.984104
323,0,10,4,7.409739,6.850670,0.924549,0.999140
323,0,10,5,11.196302,11.867545,1.059952,0.998776
323,0,10,6,10.933272,10.767674,0.984854,0.993648
323,0,10,7,7.946936,6.727962,0.846611,0.999507
323,0,10,8,7.172051,7.354408,1.025426,0.995572
323,0,10,9,6.724758,6.473506,0.962638,0.972762
323,0,10,10,11.981547,11.238475,0.937982,0.984956
323,0,10,11,8.187608,7.788933,0.951308,0.996770
323,0,10,12,4.594916,3.141158,0.683616,0.984116
323,0,10,13,11.793410,12.156607,1.030797,0.997910
323,0,10,14,4.152408,3.292275,0.792859,0.945514
323,0,10,15,5.077898,5.180655,1.020236,0.993491
323,0,11,0,9.320418,9.423642,1.011075,0.999505
323,0,11,1,11.721745,13.265213,1.131676,0.999679
323,0,11,2,5.062894,5.631476,1.112304,0.994507
323,0,11,3,-1.286468,-2.000254,1.554842,0.852931
323,0,11,4,3.930883,2.912263,0.740867,0.965342
323,0,11,5,4.365174,5.223286,1.196581,0.987037
323,0,11,6,5.143851,5.320049,1.034254,0.796700
323,0,11,7,4.070509,3.575159,0.878308,0.923260
323,0,11,8,4.085173,3.948740,0.966603,0.992628
323,0,11,9,4.874266,4.408546,0.904453,0.998039
323,0,11,10,2.105308,1.721766,0.817821,0.895708
323,0,11,11,6.699105,5.418339,0.808815,0.996612
323,0,11,12,4.002176,2.014066,0.503243,0.899226
323,0,11,13,12.423656,14.265355,1.148241,0.999388
323,0,11,14,4.679840,5.479046,1.170776,0.992715
323,0,11,15,11.434814,12.340394,1.079195,0.999182
323,0,12,0,-2.671386,-3.309955,1.239040,0.988799
323,0,12,1,9.484917,10.511139,1.108195,0.990915
323,0,12,2,1.583570,2.973817,1.877920,0.915923
323,0,12,3,-3.252287,-3.554060,1.092788,0.999664
323,0,12,4,3.075425,4.344942,1.412794,0.975663
323,0,12,5,2.746510,3.016546,1.098320,0.912677
323,0,12,6,1.054615,2.400265,2.275963,0.894141
323,0,12,7,4.952357,4.705361,0.950125,0.973997
323,0,12,8,4.210852,3.956120,0.939506,0.932805
323,0,12,9,8.459996,9.910296,1.171430,0.999121
323,0,12,10,4.410080,3.720802,0.843704,0.997646
323,0,12,11,3.878626,4.447406,1.146645,0.952299
323,0,12,12,4.438098,5.971787,1.345573,0.980616
323,0,12,13,2.962892,2.900156,0.978826,0.852857
323,0,12,14,5.114058,5.809724,1.136030,0.962964
323,0,12,15,2.927791,2.500194,0.853952,0.765697
323,0,13,0,4.688057,4.154791,0.886250,0.939812
323,0,13,1,4.050671,4.455727,1.099997,0.947306
323,0,13,2,1.059008,1.695308,1.600845,0.822476
323,0,13,3,3.963513,4.405074,1.111406,0.943802
323,0,13,4,8.346382,7.950339,0.952549,0.983782
323,0,13,5,4.784661,3.503814,0.732301,0.992338
323,0,13,6,8.220784,8.982015,1.092598,0.996984
323,0,13,7,1.876228,1.799436,0.959071,0.939557
323,0,13,8,2.511080,1.003917,0.399795,0.877014
323,0,13,9,3.258116,3.972128,1.219149,0.930610
323,0,13,10,2.898271,3.812035,1.315279,0.935281
323,0,13,11,5.488472,5.001163,0.911212,0.926506
323,0,13,12,4.818936,4.623664,0.959478,0.945957
323,0,13,13,-0.871850,-0.853173,0.978578,0.823771
323,0,13,14,5.003197,5.135402,1.026424,0.956709
323,0,13,15,-1.761005,-2.441818,1.386605,0.993018
323,0,14,0,2.335294,2.180306,0.933632,0.790814
323,0,14,1,9.163243,7.575820,0.826762,0.995746
323,0,14,2,4.787020,5.402447,1.128562,0.966143
323,0,14,3,1.523460,1.638307,1.075386,0.752483
323,0,14,4,5.435856,6.182068,1.137276,0.980494
323,0,14,5,1.360551,0.172222,0.126582,0.351912
323,0,14,6,1.985572,1.945292,0.979713,0.793902
323,0,14,7,6.098551,4.080893,0.669158,0.969498
323,0,14,8,3.159119,3.205794,1.014775,0.897330
323,0,14,9,0.942643,2.013270,2.135770,0.541968
323,0,14,10,1.046854,-0.161260,-0.154042,-0.025379
